No. ,Orgin date,Longitude(E),Latitude(N),Magnitude,Depth,Location
Small area,2024-05-23 00:00:53,121.54,23.8067,4,5.2,23.81N 121.54E, i.e. 22.0 km SSW of Hualien County(23.81N 121.54E, i.e. 22.0 km SSW of Hualien County)
Small area,2024-05-22 16:06:02,121.727,23.8548,4.1,5.3,23.85N 121.73E, i.e. 18.6 km SE of Hualien County(23.85N 121.73E, i.e. 18.6 km SE of Hualien County)
396   ,2024-05-22 16:00:40,121.739,23.8287,5.3,5.9,23.83N 121.74E, i.e. 21.7 km SE of Hualien County(23.83N 121.74E, i.e. 21.7 km SE of Hualien County)
Small area,2024-05-22 12:27:02,121.861,24.3412,3.3,9.3,24.34N 121.86E, i.e. 44.3 km SSE of Yilan County(24.34N 121.86E, i.e. 44.3 km SSE of Yilan County)
Small area,2024-05-22 11:09:03,122.568,24.4098,4.8,53.3,24.41N 122.57E, i.e. 89.0 km ESE of Yilan County(24.41N 122.57E, i.e. 89.0 km ESE of Yilan County)
Small area,2024-05-22 09:14:28,121.923,24.4513,3.4,14.4,24.45N 121.92E, i.e. 34.9 km SSE of Yilan County(24.45N 121.92E, i.e. 34.9 km SSE of Yilan County)
Small area,2024-05-21 17:16:48,122.64,24.5838,4.7,104.2,24.58N 122.64E, i.e. 90.3 km E of Yilan County(24.58N 122.64E, i.e. 90.3 km E of Yilan County)
Small area,2024-05-20 18:50:51,121.823,24.1578,3.6,23.6,24.16N 121.82E, i.e. 27.7 km NE of Hualien County(24.16N 121.82E, i.e. 27.7 km NE of Hualien County)
Small area,2024-05-20 17:22:31,121.834,24.1385,4.2,24,24.14N 121.83E, i.e. 27.2 km NE of Hualien County(24.14N 121.83E, i.e. 27.2 km NE of Hualien County)
Small area,2024-05-20 17:20:15,121.842,24.1557,4.5,22.7,24.16N 121.84E, i.e. 29.0 km NE of Hualien County(24.16N 121.84E, i.e. 29.0 km NE of Hualien County)
